sampleid	dataset	raw	filtered	perc_filtered
ERR2162204	Gopalakrishnan_2019	8063195	6921212	14.1629093678126
ERR2162205	Gopalakrishnan_2019	21616115	18109641	16.2215735806365
ERR2162206	Gopalakrishnan_2019	13496457	12752273	5.51392117205279
ERR2162207	Gopalakrishnan_2019	8932629	8530282	4.50423945738707
ERR2162208	Gopalakrishnan_2019	18979022	17542514	7.56892531132532
ERR2162209	Gopalakrishnan_2019	20006202	18424720	7.90495867231571
ERR2162210	Gopalakrishnan_2019	14332130	13640303	4.82710525232467
ERR2162211	Gopalakrishnan_2019	19724770	18202786	7.71610518145459
ERR2162212	Gopalakrishnan_2019	19119666	17711419	7.36543724142462
ERR2162213	Gopalakrishnan_2019	20140734	18670141	7.30158593028438
ERR2162214	Gopalakrishnan_2019	15320231	14231318	7.10768003432847
ERR2162215	Gopalakrishnan_2019	18234407	16881650	7.41870574677861
ERR2162216	Gopalakrishnan_2019	21516313	19985684	7.11380709139155
ERR2162217	Gopalakrishnan_2019	13533811	12499353	7.64350854315906
ERR2162218	Gopalakrishnan_2019	12944550	12020492	7.13858728190628
ERR2162219	Gopalakrishnan_2019	16324351	15124932	7.34742226505666
ERR2162220	Gopalakrishnan_2019	17308536	15988014	7.62931076319799
ERR2162221	Gopalakrishnan_2019	18980740	17514381	7.72551017505113
ERR2162222	Gopalakrishnan_2019	13315049	12268460	7.86019638380601
ERR2162223	Gopalakrishnan_2019	13408007	12405806	7.47464556067132
ERR2162224	Gopalakrishnan_2019	17287477	16089084	6.93214515918083
ERR6229432	Lee_2022	42588899	21286433	50.0188229801386
ERR6230245	Lee_2022	4545803	2756731	39.3565669255795
ERR6230278	Lee_2022	6411235	4093782	36.146748637353
ERR6230326	Lee_2022	8278742	5486455	33.7283973821143
ERR6230340	Lee_2022	8454401	5800218	31.3940987658381
ERR6231475	Lee_2022	10459736	6759405	35.3769062622613
ERR6231548	Lee_2022	6394390	3781061	40.8690899366476
ERR6231616	Lee_2022	12038579	7434882	38.2411993973707
ERR6232382	Lee_2022	14272329	9321572	34.6878004283674
ERR6232425	Lee_2022	10235989	4905347	52.0774494775248
ERR6232458	Lee_2022	14167742	6551015	53.7610509846947
ERR6232518	Lee_2022	12070548	8894194	26.3149113031157
ERR6232521	Lee_2022	5259874	3913956	25.5884076310573
ERR6232522	Lee_2022	7846034	4804881	38.7603851831384
ERR6232523	Lee_2022	6657762	3633946	45.4179046953015
ERR6232524	Lee_2022	32129876	23671395	26.3259061441756
ERR6232525	Lee_2022	8861293	6710990	24.2662442151501
ERR6232526	Lee_2022	9542197	5010057	47.4957706280849
ERR6232527	Lee_2022	20672046	9445576	54.307493317304
ERR6232528	Lee_2022	9357361	4644551	50.3647342450505
